Cl,Cd,Volume
0,0.0088,0.096582791
0.2168,0.0073,0.061771701
0.2149,0.00796,0.073810787
0.2131,0.009,0.091695214
0.2295,0.00995,0.096093651
0.4255,0.00826,0.073890766
0.4245,0.00933,0.091755474
0.0002,0.0069,0.051913973
0,0.00797,0.074056161
-0.0001,0.00796,0.077480595
0,0.00892,0.092063832
0,0.00896,0.096496922
0.1042,0.00738,0.061950113
0.2113,0.00805,0.074070392
0.3773,0.01067,0.077644977
0.2269,0.00853,0.078394477
0,0.0124,0.136664587
0.5387,0.01938,0.130388323
0.2088,0.01138,0.072789955
0.0001,0.00624,0.054000803
-0.0003,0.00679,0.067508018
0,0.01303,0.070850508
0.0005,0.00803,0.070870203
0.0001,0.01336,0.073996941
0.0045,0.00843,0.082304104
-0.0004,0.00821,0.085043571
-0.0003,0.00918,0.10125001
-0.0004,0.01069,0.121502744
-0.0004,0.01232,0.141755786
0.1372,0.00687,0.067613954
0.1236,0.00942,0.100378494
0.0838,0.01082,0.120418995
-0.0163,0.01251,0.141794007
-0.091,0.01478,0.162074601
0.3446,0.00771,0.074109544
0.2685,0.00811,0.080255218
0.2469,0.00948,0.101255906
0.1974,0.01098,0.121556761
0.1206,0.01268,0.1418085
0.4883,0.01071,0.101885378
0.3803,0.01221,0.121840617
0.272,0.01421,0.14214765
0.1525,0.01649,0.162589939
0.2106,0.007,0.055706958
0.6322,0.00988,0.091841627
0.1361,0.00931,0.096779923
0.0001,0.01033,0.109522589
0.208,0.0104,0.109600706
0.4156,0.0107,0.109486269
0.6119,0.01125,0.109488285
0.1935,0.01192,0.126783007
0.3833,0.01226,0.126843017
0.2142,0.00728,0.064787641
0.795,0.01207,0.081939701
0.2086,0.00744,0.061960785
0.4172,0.00931,0.09213058
0.2035,0.01016,0.109744638
0.5954,0.01107,0.109910646
0.189,0.01168,0.127317751
0,0.00736,0.064782704
0.2098,0.00742,0.064749836
0.3962,0.00858,0.075475251
0.1958,0.00732,0.057140961
0.1975,0.0093,0.094082206
0.3539,0.00958,0.094223286
0.1856,0.01032,0.112178373
0.1613,0.01159,0.130018104
0.3154,0.01192,0.130086167
0.3048,0.0122,0.130205934
-0.0005,0.01108,0.117746274
0.171,0.00875,0.079486916
0.165,0.00787,0.059943367
0.1553,0.00988,0.09878091
0.31,0.01016,0.098837013
0.1201,0.0111,0.117792018
0.2474,0.01131,0.117854977
0.0004,0.007,0.056327429
0.0002,0.00749,0.082427726
0.1204,0.00796,0.077903343
0.2968,0.00931,0.097670515
0.7518,0.01033,0.094055848
0.7503,0.0116,0.097434757
0.3757,0.00967,0.092191753
0.5475,0.01029,0.097363198
0.2872,0.01007,0.109387169
0.1072,0.00768,0.076820614
0.0892,0.00768,0.076044219
0.2976,0.01187,0.08389216
0.5764,0.00909,0.057668073
0.3023,0.00963,0.068569615
0.1434,0.01002,0.077227118
-0.1992,0.01065,0.081562097
0.2241,0.00954,0.103632206
0.1445,0.01016,0.102068624
0.1629,0.00882,0.079552882
0.4033,0.00841,0.081828234
0.3366,0.01079,0.115959833
0.0417,0.00813,0.077359059
0.0001,0.00722,0.063966655
-0.0004,0.00692,0.063244697
0,0.00701,0.064087049
-0.0001,0.00733,0.065634196
0.0001,0.00767,0.067634387
0.2492,0.00827,0.076086334
0.365,0.00789,0.077919599
0.3161,0.0072,0.06340682
0.3119,0.00709,0.062349943
0.3298,0.00704,0.064056233
0.2492,0.00827,0.076086334
0.2971,0.00898,0.047697613
-0.0006,0.00677,0.064969198
0.2514,0.007,0.064835241
-0.0004,0.0062,0.04967951
0.62,0.0085,0.066727051
0.3566,0.01298,0.083573464
0.1444,0.00821,0.082880293
0.2814,0.00812,0.0823113
0.2989,0.00949,0.097990002
0.601,0.0122,0.072663998
0.1845,0.01217,0.133614237
0.0049,0.00813,0.073603958
0.2319,0.00691,0.061896807
0.2971,0.00688,0.060101399
0.2975,0.00688,0.06010239
0.2262,0.00709,0.067416534
0.2294,0.00673,0.060670574
0.3187,0.00683,0.058596013
0.3231,0.00762,0.072206546
0.4385,0.00863,0.085386679
0.4619,0.00769,0.069772328
0,0.00795,0.083669585
0,0.00989,0.111591755
0,0.0103,0.120190371
0.7774,0.01122,0.097051097
-0.0002,0.01018,0.105149742
-0.0002,0.00882,0.086527068
1.3088,0.01311,0.065506692
0.3902,0.0094,0.090079053
0.5065,0.00742,0.056113931
0.2915,0.00678,0.057719866
0.8365,0.00921,0.071758233
0.5361,0.00935,0.049004218
0.4666,0.00918,0.085622385
0.6274,0.01035,0.058465783
0.1586,0.01029,0.050929003
0.1975,0.00931,0.105662959
0.1391,0.00817,0.085418069
0.2054,0.00792,0.077343543
0.2661,0.00801,0.080542295
0.0002,0.00699,0.06130151
0.0005,0.00637,0.04677189
0.2944,0.01229,0.083822026
0.0948,0.00692,0.065230915
0.1029,0.00869,0.064611559
0,0.00718,0.069950889
-0.0001,0.0077,0.083940631
0.1567,0.00774,0.066247503
0.2286,0.00796,0.079398386
0.2659,0.00875,0.092354896
0.2101,0.01063,0.117569628
0.1441,0.00741,0.066201087
0.1678,0.00824,0.079334741
0.1817,0.00913,0.09219965
0.0935,0.00762,0.066111278
0.1098,0.00859,0.07911572
0.323,0.00764,0.059308404
0.2261,0.00688,0.053240181
0.5823,0.01033,0.087363415
0.2723,0.00721,0.065931093
0.2834,0.00684,0.057880392
-0.0002,0.00694,0.067201431
0.465,0.00987,0.102189767
0.3224,0.00732,0.068496372
0.3451,0.0102,0.106578407
0.5156,0.00872,0.082501712
0.6159,0.01026,0.10356836
0.9499,0.01068,0.044472124
-0.0001,0.00915,0.089434596
0.8517,0.02053,0.108691782
0.3109,0.01055,0.095878504
0.6547,0.01142,0.101559417
0.3661,0.01216,0.078507796
0.1255,0.00804,0.082413302
0.0009,0.01123,0.115755658
0.3819,0.01214,0.120473769
0.4116,0.01335,0.108017519
0.6402,0.01399,0.073515544
-0.0243,0.00782,0.086631072
-0.0008,0.01097,0.117261461
0.4319,0.01372,0.10167495
0.5799,0.01708,0.123807765
0.6415,0.01138,0.083182029
0.623,0.0097,0.042783212
0.4096,0.00936,0.098090376
0.3426,0.01231,0.081368858
0.2055,0.00759,0.074347471
0.5056,0.01012,0.086846644
